2026-03-22 05:51:31,916 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:31,947 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:31,980 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,012 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,045 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,077 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,109 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,141 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,147 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,149 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,150 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,151 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,153 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,155 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,156 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,157 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,159 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,161 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,163 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,165 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,167 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,169 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,170 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,193 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,216 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,238 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,260 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,283 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,306 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,329 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,352 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,375 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,397 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,420 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,445 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,471 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,493 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,516 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,519 | member_id=1 | action=VIEW_PORTFOLIO | table=Member | record_id=1 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:32,520 | member_id=1 | action=VIEW_PORTFOLIO | table=Member | record_id=1 | ip=127.0.0.1 | session_valid=True | details=None
